	Tue Jun 10 06:30 2014 Time and Allocation Profiling Report  (Final)

	   safe-sim +RTS -p -RTS -Iisa/code/IsaTests -Iisa/code/safelib isa/code/IsaTests/DCache_issue.asm

	total time  =        5.17 secs   (5169 ticks @ 1000 us, 1 processor)
	total alloc = 3,258,705,280 bytes  (excludes profiling overheads)

COST CENTRE                MODULE      %time %alloc

getRawReg                  Register     14.2   21.0
runOptions.(...)           Command       8.2    6.0
setRawReg                  Register      7.1    8.7
runOptions                 Command       3.9    9.5
isLive                     Register      3.2    3.1
getReg                     Register      2.6    2.4
step                       Processor     2.6    0.5
checkWriteWatchpoint       Memory        2.5    4.2
commit                     Commit        2.4    0.7
getTmuInputs               TMU           2.2    2.4
decodeInstruction          Decoder       2.0    1.2
run1                       Debugger      1.7    0.8
dbgMsgLn                   Message       1.5    2.4
runInstruction             Processor     1.4    0.6
isFieldDontCare            GroundRules   1.4    0.0
instructionSpecificInputs' TMU           1.4    0.1
pointer                    Pointer       1.4    0.9
getsProcState              Atom          1.4    0.0
tmuCheck                   TMU           1.3    0.8
updateRegisterTags         TMU           1.2    0.5
displayInstruction         Processor     1.2    1.1
runOptions.fnla            Command       1.2    4.4
fetch                      Processor     1.1    0.7
commitInstruction          Commit        1.1    0.4
handlePossiblePcForwarding Processor     1.0    1.0
getMemory                  Memory        0.9    2.0
readTP                     Register      0.5    2.0
getDebugState              Atom          0.5    1.0


                                                                                                                    individual     inherited
COST CENTRE                                      MODULE                                           no.     entries  %time %alloc   %time %alloc

               threadPointer                     Atom                                            1454       19388    0.0    0.0     0.0    0.0
               alProcState                       Atom                                            1453       19388    0.0    0.0     0.0    0.0
            setLive                              Register                                        1422           0    0.2    0.4     1.5    1.7
             setLR                               Register                                        1434       19388    0.0    0.0     0.9    0.9
              setRawReg                          Register                                        1435       19388    0.5    0.5     0.9    0.9
               getMemory                         Memory                                          1447           0    0.0    0.0     0.0    0.0
                alMem                            Atom                                            1448       19388    0.0    0.0     0.0    0.0
               checkWriteWatchpoint              Memory                                          1443       19388    0.3    0.2     0.3    0.3
                watchpoints                      Atom                                            1445       19388    0.0    0.0     0.0    0.0
                getDebugState                    Atom                                            1444           0    0.0    0.0     0.0    0.0
                 alDebugState                    Atom                                            1446       19388    0.0    0.0     0.0    0.0
               active                            Atom                                            1442       19388    0.0    0.0     0.0    0.0
               alUart                            Atom                                            1441       19388    0.0    0.0     0.0    0.0
               getsUartState                     Atom                                            1440       19388    0.0    0.0     0.0    0.0
               readTP                            Register                                        1436           0    0.0    0.0     0.0    0.0
                getsProcState                    Atom                                            1437           0    0.0    0.0     0.0    0.0
                 threadPointer                   Atom                                            1439       19388    0.0    0.0     0.0    0.0
                 alProcState                     Atom                                            1438       19388    0.0    0.0     0.0    0.0
             getLR                               Register                                        1423           0    0.0    0.0     0.4    0.5
              getRawReg                          Register                                        1424           0    0.3    0.4     0.4    0.5
               getMemory                         Memory                                          1432           0    0.0    0.0     0.0    0.0
                alMem                            Atom                                            1433       19388    0.0    0.0     0.0    0.0
               active                            Atom                                            1431       19388    0.0    0.0     0.0    0.0
               alUart                            Atom                                            1430       19388    0.0    0.0     0.0    0.0
               getsUartState                     Atom                                            1429       19388    0.0    0.0     0.0    0.0
               readTP                            Register                                        1425           0    0.0    0.0     0.1    0.0
                getsProcState                    Atom                                            1426           0    0.1    0.0     0.1    0.0
                 threadPointer                   Atom                                            1428       19388    0.0    0.0     0.0    0.0
                 alProcState                     Atom                                            1427       19388    0.0    0.0     0.0    0.0
            isWriteable                          Register                                        1409       19388    0.2    0.4     0.4    0.9
             getWR                               Register                                        1410           0    0.0    0.0     0.3    0.5
              getRawReg                          Register                                        1411           0    0.2    0.4     0.3    0.5
               getMemory                         Memory                                          1419           0    0.0    0.0     0.0    0.0
                alMem                            Atom                                            1420       19388    0.0    0.0     0.0    0.0
               active                            Atom                                            1418       19388    0.0    0.0     0.0    0.0
               alUart                            Atom                                            1417       19388    0.0    0.0     0.0    0.0
               getsUartState                     Atom                                            1416       19388    0.0    0.0     0.0    0.0
               readTP                            Register                                        1412           0    0.0    0.0     0.1    0.0
                getsProcState                    Atom                                            1413           0    0.1    0.0     0.1    0.0
                 threadPointer                   Atom                                            1415       19388    0.0    0.0     0.0    0.0
                 alProcState                     Atom                                            1414       19388    0.0    0.0     0.0    0.0
           getReg                                Register                                        1384       19388    0.3    0.3     1.7    1.7
            regOffset                            Register                                        1407           0    0.0    0.0     0.0    0.0
            getRawReg                            Register                                        1397       19388    0.3    0.4     0.3    0.5
             getMemory                           Memory                                          1405           0    0.0    0.0     0.0    0.0
              alMem                              Atom                                            1406       19388    0.0    0.0     0.0    0.0
             active                              Atom                                            1404       19388    0.0    0.0     0.0    0.0
             alUart                              Atom                                            1403       19388    0.0    0.0     0.0    0.0
             getsUartState                       Atom                                            1402       19388    0.0    0.0     0.0    0.0
             readTP                              Register                                        1398           0    0.0    0.0     0.0    0.0
              getsProcState                      Atom                                            1399           0    0.0    0.0     0.0    0.0
               threadPointer                     Atom                                            1401       19388    0.0    0.0     0.0    0.0
               alProcState                       Atom                                            1400       19388    0.0    0.0     0.0    0.0
            isLive                               Register                                        1385       19388    0.5    0.4     1.1    0.9
             getLR                               Register                                        1386           0    0.0    0.0     0.6    0.5
              getRawReg                          Register                                        1387           0    0.6    0.4     0.6    0.5
               getMemory                         Memory                                          1395           0    0.0    0.0     0.0    0.0
                alMem                            Atom                                            1396       19388    0.0    0.0     0.0    0.0
               active                            Atom                                            1394       19388    0.0    0.0     0.0    0.0
               alUart                            Atom                                            1393       19388    0.0    0.0     0.0    0.0
               getsUartState                     Atom                                            1392       19388    0.0    0.0     0.0    0.0
               readTP                            Register                                        1388           0    0.0    0.0     0.0    0.0
                getsProcState                    Atom                                            1389           0    0.0    0.0     0.0    0.0
                 threadPointer                   Atom                                            1391       19388    0.0    0.0     0.0    0.0
                 alProcState                     Atom                                            1390       19388    0.0    0.0     0.0    0.0
          op3                                    Atom                                            1382       19325    0.0    0.0     0.0    0.0
          lookupInstructionType                  Instruction                                     1378       32337    0.4    0.0     0.4    0.0
           iiInstType                            Instruction                                     1379       32337    0.0    0.0     0.0    0.0
         setResultTags                           TMU                                             1369       32337    0.5    0.7     1.2    1.2
          setResultTags.updateAuth               TMU                                             1376       32337    0.0    0.0     0.0    0.0
          a                                      Atom                                            1375       32337    0.0    0.0     0.0    0.0
          setResultTags.updateMW                 TMU                                             1374       32337    0.1    0.1     0.6    0.5
           writeMemTag                           Memory                                          1632        5537    0.3    0.1     0.3    0.2
